0	0
1	1
2	2
3	3
4	4
5	3,5,6,7
6	8
7	9,0
8	10
9	3,5
10	3,0,11
11	3
12	3
13	12
14	10,13
15	3
16	3,5,6
17	4
18	14
19	15
20	14
21	3
22	9,16,17
23	0
24	16
25	5
26	0
27	3
28	11
29	16,17
30	9,12,5,18,19,16,17,7
31	5
32	9,14,20
33	10
34	21
35	19
36	0
37	19,22
38	12
39	4
40	15
41	14
42	23,24
43	12,18
44	0,5,22
45	5,19
46	9,25
47	26,27
48	9
49	14,15
50	15
51	9,28
52	9,5,25,19,16,17,7
53	18
54	25,10
55	3
56	9,25
57	5,19
58	0
59	9
60	9
61	29
62	9
63	9,5,19,17,7
64	28
65	14
66	19
67	9,5,19,16,7
68	5,30
69	3,5
70	9,5,25,19,16,17,7
71	9,16
72	5,19
73	9,5,19,16,17,7
74	3,5,6
75	3
76	28
77	0,5,31
78	12,18,19
79	9,5,19
80	9
81	20
82	9,5,19,16,17
83	14
84	5
85	16,17
86	5
87	12,18
88	3
89	11,21
90	9,19
91	9,28
92	14
93	9
94	3,5
95	0
96	9
97	0
98	9,25,10,7
99	9,10
100	9
101	9
102	9,12,19,16,17,7
103	3
104	18,19
105	25
106	19
107	9,16,17
108	9
109	9,5,25,19,17,7,32
110	3
111	3,5
112	9,33
113	9,5
114	9,34
115	3,5,6
116	9,18,17,7
117	9,19
118	5,19
119	16,17
120	25
121	5,23,24
122	3,5,6
123	9
124	3,6
125	9
126	3
127	33
128	9
129	3
130	3
131	9,19,10,16,17,7,32
132	5,16,17
133	7,35
134	19
135	9
136	5,19
137	9,16,17
138	9,12,5,33,25,19,16,17,7
139	19
140	0,4
141	19
142	9,16
143	9
144	29
145	28
146	9,19
147	25
148	9,19,17,7
149	12,18
150	9,19
151	9,25,19,10,7
152	12,18
153	19,16
154	9,3,5,25,19,16,17,7
155	12
156	3,19,16
157	9
158	19
159	9,16,17
160	25
161	9
162	0
163	9,12,19,16,7
164	25
165	9,18,19,7
166	3,5,6
167	9,5,19,7
168	18,19
169	9
170	5,19
171	9,16
172	9
173	9,17
174	9,5,19
175	12,18
176	9,7
177	9
178	9
179	5
180	0
181	12
182	9
183	25,10
184	36
185	19,7
186	19
187	9
188	9
189	9,5,19
190	12,18
191	9
192	14
193	0
194	19
195	3
196	3,5
197	9,7
198	19
199	9
200	9,5
201	9
202	25
203	16,17
204	5
205	3
206	9
207	9,5,25,19,16,7
208	9,19,16,17,7
209	9
210	3,19,7
211	29
212	9
213	19
214	19
215	18,16,17
216	19
217	9
218	9,17,7
219	9,19
220	9
221	3
222	9,12,5,25,19,17,7
223	5,19
224	9,16,17
225	19
226	19,16,17
227	9,19
228	5
229	9,16,17
230	12,18
231	9
232	19
233	14
234	9
235	9
236	9,7
237	9,5,19
238	9,12,18
239	3
240	25
241	3,5
242	5,19
243	3
244	9
245	19
246	19
247	9
248	9
249	9,5,17,7
250	9,19,16,17
251	9,19,7
252	0
253	19
254	9,12,18,16
255	9
256	25
257	9
258	9,33,19
259	20
260	9
261	19
262	5
263	33
264	12,18
265	9
266	9
267	25
268	19
269	19
270	19
271	19,16
272	9,19
273	19
274	9,19
275	9,19,16
276	9,12,5,18,19
277	9
278	19
279	9,5,19
280	19
281	12,18
282	12,18,19
283	9,16,17
284	28
285	9
286	20
287	5
288	7
289	10
290	9,19,17
291	9
292	9,19,16,7
293	25
294	9,25
295	9,33
296	9,25
297	9,7
298	12
299	3
300	12,18
301	9,25
302	9,25
303	7
304	9,16
305	9
306	5,19
307	9,19
308	5
309	9
310	9
311	5,19
312	9
313	9,16,7
314	12,18
315	5,19
316	23
317	9
318	9,17
319	9
320	9,19,17,7
321	25
322	9,16,17
323	9
324	3,5,6
325	19
326	9,25
327	9,19
328	9,25,19,10,7
329	9
330	12,18
331	25
332	25
333	25
334	9,16,17
335	16,17
336	9,16,17
337	9
338	9
339	9
340	19
341	19
342	12,18
343	12,18,19
344	5
345	19
346	25,10
347	9,7
348	9,5,19,6
349	9,3,5,7,32
350	5
351	9,19
352	9,17
353	25
354	9,5,19
355	19
356	25
357	9
358	28
359	19
360	9,19,7,32
361	9
362	19
363	12,18
364	10
365	19
366	9,16
367	9
368	9,25,10
369	9
370	19
371	9,16,17
372	19
373	25,10
374	19
375	9
376	5,19,16
377	9
378	19
379	9,19,17
380	2
381	9
382	19
383	9,33
384	25
385	25
386	9,16,17
387	9
388	9,19
389	9
390	9,19
3581	7
391	19
392	9
393	9,5,19
394	19
395	25,10
396	12,18
397	9
398	12
399	14
400	9
401	9,5,19,17,7
402	9
403	12,18
404	20
405	9,19,7
406	9,19
3582	9,5,19,16,17,7
407	9
408	9
409	5
410	19
411	25,10
412	9,25
413	19
414	9,7
415	25
416	9,19
417	25
418	25
419	9
420	9
421	3
422	9,19
423	9
424	9
425	9
426	19
427	5,19,16,26
428	9,16,17
429	9
430	25
431	19
432	9,3,19
433	12,18,19
434	25
435	25
436	19
437	9,19,7
438	25,10
439	9
440	18,19
441	9,17
442	9,19
443	5
444	12,18,19
445	9,19,16
446	14
447	23
448	9
449	12,18
450	19
451	9,16,17
452	9
453	9,5,17,7
454	9,16,17
455	25
456	25
457	9
458	19
459	25
460	9
461	9
462	9
463	9,16,17
464	9,12,19,17,7
465	25,10
466	9
467	9,28
468	20
469	9,19
470	9
471	9
472	9
473	9,16
474	19
475	25
476	19
477	9
478	12,18,19
479	12,18
480	9,19,7
481	19
482	5
483	5,19
484	25,10
485	19
486	25,10,7
487	19
488	9,16
489	25
490	25
491	19
492	19
493	9
494	9,12,19
495	33
496	7,32
497	9
498	3,6
499	9
500	9
501	5
502	9
503	9
504	16,17
505	9,16,17
506	9
507	26,27
508	9,19
509	9,19
510	9,17
511	19
512	9,19
513	9,19,17,7
514	5,19
515	19
516	3
517	25,10
518	9
519	3,5,19
520	9
521	9,3,5,10,16,7
522	25,10
523	19
524	9
525	9,16,17
526	9
527	9
528	12,18
529	19
530	9
531	25
532	9
533	18
534	9,7
535	9,16
536	9
537	16,17
538	9,16,17
539	9,19
540	9,19
541	5
542	9,25
543	9,16
544	25
545	9
546	9
547	9,16,17
548	9
549	14
550	9,33
551	9
552	9
553	5,26,27
554	25,10
555	9
556	9
557	19
558	25
559	0,5,4
560	9,16
561	12,18
562	9,17,7
563	9
564	19
565	10
566	19
567	12,18
568	12,18
569	32
570	9,3,5,17,7
571	5,19
572	9,33
573	9,19
574	9,5
575	9,7
576	9
577	19
578	12,18
579	25
580	9,16,17
581	9,16
582	19
583	5,19
584	9
585	9
586	3
587	9,33
588	33
589	9
590	19,7
591	9
592	9,16,17
593	19
594	14
595	9,17,7
596	19,16,17
597	9,16,17,28
598	25
599	9
600	19
601	9,17
602	25
603	19
604	12,18
605	9
606	9
607	9,19
608	18,19
609	9
610	19
3583	9,7
611	9,16,17
612	3
613	9,12,5,25,7
614	9
615	9,19
3584	9,3,5,7
616	25,10
617	9,7
618	3
619	9
620	3,5,6
621	9
622	9
623	25
624	19
625	9
626	12,18
627	9,19,16,17
628	9
629	9
630	9,25,19
631	9
632	9
3585	15
633	25
634	9,16
635	9,12
636	10
637	9,19
638	18
639	19
640	9
641	25
642	5
643	9
644	9,7
645	9
646	9,16,17,7
647	5
648	25
649	12,18
650	12
651	9
652	9
653	9
654	25
655	9
656	12
657	9,16,7
658	33
659	19
660	5
661	25,10
662	9
663	9
664	25
665	16,27
666	9,17
667	9
668	3,5,6
669	9,16
670	20
671	9
672	9,19
673	9
674	9,19
675	9
676	16,17
677	25
678	5
679	18,19
680	3
681	9,16
682	9
683	9
684	9
685	9,19
686	25
687	23
688	9
689	5
690	9,18,19,16,17
691	12,18,19
692	9,25
693	9
694	9,3,19
695	9
696	9,16
697	5,19
698	9,19,7
699	9
700	9
701	9
702	25
703	25
704	19
4683	19
705	5
706	25
707	32
708	25
709	9
710	25
711	5
712	9
713	25
714	5
715	16,17
716	25
717	19
718	25
719	35
720	12,18
721	9
722	9
723	25
724	9
725	9
726	25
727	9
728	19
729	9,19
730	19,16,17
731	28
732	19
733	32
734	9
735	12,18
736	9
737	25,10
738	9,7
3586	9,7
739	9
740	5
741	19
742	9
743	9,19
744	19
745	12,18
746	5,26,27
747	12,18
748	25
3587	9,7
749	19
750	25
751	9,17
752	12,18
753	9,16,7
754	9
755	9
756	9
757	9,19
758	19
759	25
760	25
761	25
762	19
763	9
764	9
765	9
766	9
767	9
768	9
769	9
770	20
771	9
3588	9
772	9,33
773	25
774	12,18
775	9
776	5
777	9
778	37
779	19
780	12,18,19
781	19
782	9,16,7
783	9
